Rank,City,Country,2020,2019,Change
1,Tokyo,Japan,37393128,37435192,-0.11
2,Delhi,India,30290936,293991,3.03
3,Shanghai,China,27058480,263174,2.82
4,Sao Paulo,Brazil,22043028,218468,0.90
5,Mexico City,Mexico,21782378,216718,0.51
6,Dhaka,Bangladesh,21005860,283552,3.56
7,Cairo,Egypt,20900604,484964,2.03
8,Beijing,China,20462610,035456,2.13
9,Mumbai,India,20411274,1864,1.12
10,Osaka,Japan,19165340,19222664,-0.30
11,Karachi,Pakistan,16093786,157416,2.24
12,Chongqing,China,15872179,153567,3.37
13,Istanbul,Turkey,15190336,14967667,1.49
14,Buenos Aires,Argentina,15153729,157273,0.64
15,Kolkata,India,14850066,14755186,0.64
16,Lagos,Nigeria,14368332,1336,3.34
17,Kinshasa,Dr Congo,14342439,13743278,4.36
18,Manila,Philippines,13923452,13698889,1.64
19,Tianjin,China,13589078,133962,1.44
20,Rio De Janeiro,Brazil,13458075,13374275,0.63
21,Guangzhou,China,13301532,12967862,2.57
22,Lahore,Pakistan,12642423,12188196,3.73
23,Moscow,Russia,12537954,12476171,0.50
24,Shenzhen,China,12356820,12128721,1.88
25,Bangalore,India,12326532,11882666,3.74
26,Paris,France,11017230,958187,0.54
27,Bogota,Colombia,10978360,779376,1.85
28,Chennai,India,10971108,711243,2.43
29,Jakarta,Indonesia,10770487,638689,1.24
30,Lima,Peru,10719188,554712,1.56
31,Bangkok,Thailand,10539415,34,1.83
32,Hyderabad,India,10004144,9741397,2.70
33,Seoul,South Korea,9963452,9962393,0.01
34,Nagoya,Japan,9552132,95359,0.21
35,London,United Kingdom,9304016,91765,1.39
36,Chengdu,China,9135768,8971839,1.83
37,Tehran,Iran,9134708,13663,1.34
38,Nanjing,China,8847372,8545577,3.53
39,Ho Chi Minh City,Vietnam,8602317,8371428,2.76
40,Wuhan,China,8364977,8266273,1.19
41,Luanda,Angola,8329798,44735,3.54
42,New York City City,United States,8283550,83368,-0.64
43,Ahmedabad,India,8059441,7868633,2.42
44,Xi An Shaanxi,China,8000965,7722254,3.61
45,Kuala Lumpur,Malaysia,7996830,771,2.78
46,Hangzhou,China,7642147,7437993,2.74
47,Hong Kong,Hong Kong,7547652,74776,0.76
48,Dongguan,China,7407852,73780,0.40
49,Foshan,China,7326852,7257143,0.96
50,Riyadh,Saudi Arabia,7231447,665,2.27
51,Shenyang,China,7220104,612,2.14
52,Surat,India,7184590,6873756,4.52
53,Baghdad,Iraq,7144260,6974439,2.43
54,Suzhou,China,7069992,63499,5.47
55,Santiago,Chile,6767223,6723516,0.65
56,Dar Es Salaam,Tanzania,6701650,6368272,5.23
57,Pune,India,6629347,6451618,2.75
58,Madrid,Spain,6617513,65541,0.89
59,Haerbin,China,6387195,6249824,2.20
60,Toronto,Canada,6196731,61394,0.93
61,Belo Horizonte,Brazil,6084430,28319,0.93
62,Singapore,Singapore,5935053,58684,1.14
63,Khartoum,Sudan,5828858,5677921,2.66
64,Johannesburg,South Africa,5782747,5635127,2.62
65,Qingdao,China,5619977,5499117,2.20
66,Dalian,China,5617849,5458521,2.92
67,Barcelona,Spain,5585556,5541127,0.80
68,Fukuoka,Japan,5528632,55084,-0.21
69,Saint Petersburg,Russia,5467808,5426959,0.75
70,Ji Nan Shandong,China,5360185,552,2.97
71,Yangon,Myanmar,5331800,5243989,1.67
72,Zhengzhou,China,5322696,5131377,3.73
73,Alexandria,Egypt,5280664,51824,1.90
74,Abidjan,Ivory Coast,5202762,585,2.85
75,Guadalajara,Mexico,5179479,50527,1.55
76,Ankara,Turkey,5117603,17996,1.98
77,Chittagong,Bangladesh,5019824,4914633,2.14
78,Melbourne,Australia,4967733,48388,2.00
79,Sydney,Australia,4925987,4859432,1.37
80,Monterrey,Mexico,4874095,4792864,1.69
81,Addis Ababa,Ethiopia,4793699,4591983,4.39
82,Nairobi,Kenya,4734881,4556381,3.92
83,Hanoi,Vietnam,4678198,4479629,4.43
84,Brasilia,Brazil,4645843,4558991,1.91
85,Cape Town,South Africa,4617560,4524111,2.07
86,Jiddah,Saudi Arabia,4610176,4522216,1.95
87,Changsha,China,4577723,44622,2.63
88,Kunming,China,4443186,4335924,2.47
89,Changchun,China,4425761,4332263,2.16
90,Xinbei,Taiwan,4398383,43614,0.85
91,Urumqi,China,4368865,4189926,4.27
92,Shantou,China,4327316,4249233,1.84
93,Rome,Italy,4257056,42319,0.54
94,Hefei,China,4241514,41366,3.19
95,Kabul,Afghanistan,4221532,41129,2.61
96,Montreal,Canada,4220566,4195523,0.60
97,Tel Aviv,Israel,4181479,96962,2.06
