Rank,City,Country,2019,2020,Growth_Rate_(%)
1,Tokyo,Japan,37435192,37393128,-0.11
2,Delhi,India,293991,30290936,3.03
3,Shanghai,China,263174,27058480,2.82
4,Sao Paulo,Brazil,218468,22043028,0.90
5,Mexico City,Mexico,216718,21782378,0.51
6,Dhaka,Bangladesh,283552,21005860,3.56
7,Cairo,Egypt,484964,20900604,2.03
8,Beijing,China,035456,20462610,2.13
9,Mumbai,India,1864,20411274,1.12
10,Osaka,Japan,19222664,19165340,-0.30
11,Karachi,Pakistan,157416,16093786,2.24
12,Chongqing,China,153567,15872179,3.37
13,Istanbul,Turkey,14967667,15190336,1.49
14,Buenos Aires,Argentina,157273,15153729,0.64
15,Kolkata,India,14755186,14850066,0.64
16,Lagos,Nigeria,1336,14368332,3.34
17,Kinshasa,Dr Congo,13743278,14342439,4.36
18,Manila,Philippines,13698889,13923452,1.64
19,Tianjin,China,133962,13589078,1.44
20,Rio De Janeiro,Brazil,13374275,13458075,0.63
21,Guangzhou,China,12967862,13301532,2.57
22,Lahore,Pakistan,12188196,12642423,3.73
23,Moscow,Russia,12476171,12537954,0.50
24,Shenzhen,China,12128721,12356820,1.88
25,Bangalore,India,11882666,12326532,3.74
26,Paris,France,958187,11017230,0.54
27,Bogota,Colombia,779376,10978360,1.85
28,Chennai,India,711243,10971108,2.43
29,Jakarta,Indonesia,638689,10770487,1.24
30,Lima,Peru,554712,10719188,1.56
31,Bangkok,Thailand,34,10539415,1.83
32,Hyderabad,India,9741397,10004144,2.70
33,Seoul,South Korea,9962393,9963452,0.01
34,Nagoya,Japan,95359,9552132,0.21
35,London,United Kingdom,91765,9304016,1.39
36,Chengdu,China,8971839,9135768,1.83
37,Tehran,Iran,13663,9134708,1.34
38,Nanjing,China,8545577,8847372,3.53
39,Ho Chi Minh City,Vietnam,8371428,8602317,2.76
40,Wuhan,China,8266273,8364977,1.19
41,Luanda,Angola,44735,8329798,3.54
42,New York City City,United States,83368,8283550,-0.64
43,Ahmedabad,India,7868633,8059441,2.42
44,Xi An Shaanxi,China,7722254,8000965,3.61
45,Kuala Lumpur,Malaysia,771,7996830,2.78
46,Hangzhou,China,7437993,7642147,2.74
47,Hong Kong,Hong Kong,74776,7547652,0.76
48,Dongguan,China,73780,7407852,0.40
49,Foshan,China,7257143,7326852,0.96
50,Riyadh,Saudi Arabia,665,7231447,2.27
51,Shenyang,China,612,7220104,2.14
52,Surat,India,6873756,7184590,4.52
53,Baghdad,Iraq,6974439,7144260,2.43
54,Suzhou,China,63499,7069992,5.47
55,Santiago,Chile,6723516,6767223,0.65
56,Dar Es Salaam,Tanzania,6368272,6701650,5.23
57,Pune,India,6451618,6629347,2.75
58,Madrid,Spain,65541,6617513,0.89
59,Haerbin,China,6249824,6387195,2.20
60,Toronto,Canada,61394,6196731,0.93
61,Belo Horizonte,Brazil,28319,6084430,0.93
62,Singapore,Singapore,58684,5935053,1.14
63,Khartoum,Sudan,5677921,5828858,2.66
64,Johannesburg,South Africa,5635127,5782747,2.62
65,Qingdao,China,5499117,5619977,2.20
66,Dalian,China,5458521,5617849,2.92
