Rank,Country,2020,2019,Area (km²),Growth Rate (%),World Ratio (%)
1,China,1442166775,1433783686,9706961,0.39,18.47
2,India,1387177258,1366417754,3287590,0.99,17.70
3,United States,332041150,329064917,9372610,0.59,4.25
4,Indonesia,275056196,270625568,1904569,1.07,3.51
5,Pakistan,223154088,216565318,881912,2.00,2.83
6,Brazil,213344896,211049527,8515767,0.72,2.73
7,Nigeria,208873242,200963599,923768,2.58,2.64
8,Bangladesh,165549495,163046161,147570,1.01,2.11
9,Russia,145960882,145872256,17098242,0.04,1.87
10,Mexico,129649385,127575529,1964375,1.06,1.65
11,Japan,126275125,126860301,377930,-0.30,1.62
12,Ethiopia,116483634,112078730,1104300,2.57,1.47
13,Philippines,110360579,108116615,342353,1.35,1.41
14,Egypt,103358053,100388073,1002450,1.94,1.31
15,Vietnam,97793127,96462106,331212,0.91,1.25
16,Dr Congo,91020894,86790567,2344858,3.19,1.15
17,Germany,83899074,83517045,357114,0.32,1.07
18,Turkey,84807115,83429615,783562,1.09,1.08
19,Iran,84543537,82913906,1648195,1.30,1.08
20,Thailand,69891196,69625582,513120,0.25,0.90
21,United Kingdom,68073269,67530172,242900,0.53,0.87
22,France,65358172,65129728,551695,0.22,0.84
23,Italy,60429620,60550075,301336,-0.15,0.78
24,South Africa,59704804,58558270,1221037,1.28,0.76
25,Tanzania,60645821,58005463,945087,2.98,0.77
26,Myanmar,54609014,54045420,676578,0.67,0.70
27,Kenya,54407123,52573973,580367,2.28,0.69
28,South Korea,51300427,51225308,100210,0.09,0.66
29,Colombia,51143432,50339443,1141748,1.08,0.65
30,Spain,46752657,46736776,505992,0.04,0.60
31,Argentina,45414466,44780677,2780400,0.93,0.58
32,Uganda,46494087,44269594,241550,3.32,0.59
33,Ukraine,43599538,43993638,603500,-0.59,0.56
34,Algeria,44261815,43053054,2381741,1.85,0.56
35,Sudan,44395219,42813238,1886068,2.42,0.56
36,Iraq,40726989,39309783,438317,2.32,0.52
37,Afghanistan,39408929,38041754,652230,2.33,0.50
38,Poland,37820769,37887768,312679,-0.11,0.49
39,Canada,37918033,37411047,9984670,0.89,0.48
40,Morocco,37141787,36471769,446550,1.20,0.47
41,Saudi Arabia,35112982,34268528,2149690,1.59,0.45
42,Uzbekistan,33720873,32981716,447400,1.48,0.43
43,Peru,33195560,32510453,1285216,1.42,0.42
44,Malaysia,32582570,31949777,330803,1.30,0.42
45,Angola,33419174,31825295,1246700,3.27,0.42
46,Ghana,31418142,30417856,238533,2.15,0.40
47,Mozambique,31722133,30366036,801590,2.93,0.40
48,Yemen,30176952,29161922,527968,2.28,0.38
49,Nepal,29381921,28608710,147181,1.85,0.37
50,Venezuela,28460239,28515829,916445,-0.28,0.36
51,Madagascar,28071512,26969307,587041,2.68,0.36
52,Cameroon,26898779,25876380,475442,2.59,0.34
53,Ivory Coast,26726369,25716544,322463,2.57,0.34
54,North Korea,25837442,25666161,120538,0.44,0.33
55,Australia,25657443,25203198,7692024,1.18,0.33
56,Taiwan,23839531,23773876,36193,0.18,0.31
57,Niger,24681056,23310715,1267000,3.84,0.31
58,Sri Lanka,21460883,21323733,65610,0.42,0.27
59,Burkina Faso,21210869,20321378,272967,2.86,0.27
60,Mali,20562672,19658031,1240192,3.02,0.26
61,Romania,19174436,19364557,238391,-0.66,0.25
62,Chile,19194305,18952038,756102,0.87,0.25
63,Malawi,19396471,18628747,118484,2.69,0.25
64,Kazakhstan,18895696,18551427,2724900,1.21,0.24
65,Zambia,18661467,17861030,752612,2.93,0.24
66,Guatemala,18091255,17581472,108889,1.90,0.23
67,Ecuador,17779978,17373662,276841,1.55,0.23
68,Netherlands,17155121,17097130,41850,0.22,0.22
69,Syria,17704308,17070135,185180,2.52,0.22
70,Cambodia,16840846,16486542,181035,1.41,0.21
71,Senegal,16979011,16296364,196722,2.75,0.21
72,Chad,16679655,15946876,1284000,3.00,0.21
73,Somalia,16131006,15442905,637657,2.92,0.20
74,Zimbabwe,14982105,14645468,390757,1.48,0.19
75,Guinea,13319474,12771246,245857,2.83,0.17
76,Rwanda,13121155,12626950,26338,2.58,0.17
77,Benin,12293101,11801151,112622,2.73,0.16
78,Tunisia,11881295,11694719,163610,1.06,0.15
79,Belgium,11615851,11539328,30528,0.44,0.15
80,Burundi,12079392,11530580,27834,3.12,0.15
81,Bolivia,11757489,11513100,1098581,1.39,0.15
82,Cuba,11323723,11333483,109884,-0.06,0.15
83,Haiti,11476197,11263077,27750,1.24,0.15
84,South Sudan,11277422,11062113,619745,1.19,0.14
85,Dominican Republic,10904801,10738958,48671,1.01,0.14
86,Czech Republic,10717659,10689209,78865,0.18,0.14
87,Greece,10396826,10473455,131990,-0.48,0.13
88,Portugal,10179931,10226187,92090,-0.29,0.13
89,Jordan,10268125,10101694,89342,1.00,0.13
90,Azerbaijan,10187004,10047718,86600,0.91,0.13
91,Sweden,10132628,10036379,450295,0.63,0.13
92,United Arab Emirates,9948450,9770529,83600,1.23,0.13
93,Honduras,9988111,9746117,112492,1.63,0.13
94,Hungary,9646659,9684679,93028,-0.25,0.12
95,Belarus,9447394,9452411,207600,-0.03,0.12
96,Tajikistan,9649498,9321018,143100,2.32,0.12
97,Austria,9031469,8955102,83871,0.57,0.12
98,Papua New Guinea,9036892,8776109,462840,1.95,0.11
99,Serbia,8718857,8772235,88361,-0.40,0.11
100,Switzerland,8689142,8591365,41284,0.74,0.11
101,Israel,8726504,8519377,20770,1.60,0.11
102,Togo,8382863,8082366,56785,2.43,0.11
103,Sierra Leone,8062994,7813215,71740,2.10,0.10
104,Hong Kong,7527644,7436154,1104,0.82,0.10
105,Laos,7330522,7169455,236800,1.48,0.09
106,Paraguay,7178629,7044636,406752,1.25,0.09
107,Bulgaria,6921446,7000119,110879,-0.74,0.09
108,Lebanon,6826024,6855713,10452,-0.44,0.09
109,Libya,6916805,6777452,1759540,1.38,0.09
110,Nicaragua,6666017,6545502,130373,1.21,0.08
111,El Salvador,6502983,6453553,21041,0.51,0.08
112,Kyrgyzstan,6580507,6415850,199951,1.69,0.08
113,Turkmenistan,6077677,5942089,488100,1.50,0.08
114,Singapore,5876377,5804337,710,0.79,0.08
115,Denmark,5803387,5771876,43094,0.35,0.07
116,Finland,5545734,5532156,338424,0.15,0.07
117,Slovakia,5460799,5457013,49037,0.05,0.07
118,Republic Of The Congo,5590406,5380508,342000,2.56,0.07
119,Norway,5444962,5378857,323802,0.79,0.07
