Rank,Country,2019,2020,Area_(km²),Growth_Rate_(%),World_Ratio_(%)
1,China,1433783686,1442166775,9706961,0.39,18.47
2,India,1366417754,1387177258,3287590,0.99,17.70
3,United States,329064917,332041150,9372610,0.59,4.25
4,Indonesia,270625568,275056196,1904569,1.07,3.51
5,Pakistan,216565318,223154088,881912,2.00,2.83
6,Brazil,211049527,213344896,8515767,0.72,2.73
7,Nigeria,200963599,208873242,923768,2.58,2.64
8,Bangladesh,163046161,165549495,147570,1.01,2.11
9,Russia,145872256,145960882,17098242,0.04,1.87
10,Mexico,127575529,129649385,1964375,1.06,1.65
11,Japan,126860301,126275125,377930,-0.30,1.62
12,Ethiopia,112078730,116483634,1104300,2.57,1.47
13,Philippines,108116615,110360579,342353,1.35,1.41
14,Egypt,100388073,103358053,1002450,1.94,1.31
15,Vietnam,96462106,97793127,331212,0.91,1.25
16,Dr Congo,86790567,91020894,2344858,3.19,1.15
17,Germany,83517045,83899074,357114,0.32,1.07
18,Turkey,83429615,84807115,783562,1.09,1.08
19,Iran,82913906,84543537,1648195,1.30,1.08
20,Thailand,69625582,69891196,513120,0.25,0.90
21,United Kingdom,67530172,68073269,242900,0.53,0.87
22,France,65129728,65358172,551695,0.22,0.84
23,Italy,60550075,60429620,301336,-0.15,0.78
24,South Africa,58558270,59704804,1221037,1.28,0.76
25,Tanzania,58005463,60645821,945087,2.98,0.77
26,Myanmar,54045420,54609014,676578,0.67,0.70
27,Kenya,52573973,54407123,580367,2.28,0.69
28,South Korea,51225308,51300427,100210,0.09,0.66
29,Colombia,50339443,51143432,1141748,1.08,0.65
30,Spain,46736776,46752657,505992,0.04,0.60
31,Argentina,44780677,45414466,2780400,0.93,0.58
32,Uganda,44269594,46494087,241550,3.32,0.59
33,Ukraine,43993638,43599538,603500,-0.59,0.56
34,Algeria,43053054,44261815,2381741,1.85,0.56
35,Sudan,42813238,44395219,1886068,2.42,0.56
36,Iraq,39309783,40726989,438317,2.32,0.52
37,Afghanistan,38041754,39408929,652230,2.33,0.50
38,Poland,37887768,37820769,312679,-0.11,0.49
39,Canada,37411047,37918033,9984670,0.89,0.48
40,Morocco,36471769,37141787,446550,1.20,0.47
41,Saudi Arabia,34268528,35112982,2149690,1.59,0.45
42,Uzbekistan,32981716,33720873,447400,1.48,0.43
43,Peru,32510453,33195560,1285216,1.42,0.42
44,Malaysia,31949777,32582570,330803,1.30,0.42
45,Angola,31825295,33419174,1246700,3.27,0.42
46,Ghana,30417856,31418142,238533,2.15,0.40
47,Mozambique,30366036,31722133,801590,2.93,0.40
48,Yemen,29161922,30176952,527968,2.28,0.38
49,Nepal,28608710,29381921,147181,1.85,0.37
50,Venezuela,28515829,28460239,916445,-0.28,0.36
51,Madagascar,26969307,28071512,587041,2.68,0.36
52,Cameroon,25876380,26898779,475442,2.59,0.34
53,Ivory Coast,25716544,26726369,322463,2.57,0.34
54,North Korea,25666161,25837442,120538,0.44,0.33
55,Australia,25203198,25657443,7692024,1.18,0.33
56,Taiwan,23773876,23839531,36193,0.18,0.31
57,Niger,23310715,24681056,1267000,3.84,0.31
58,Sri Lanka,21323733,21460883,65610,0.42,0.27
59,Burkina Faso,20321378,21210869,272967,2.86,0.27
60,Mali,19658031,20562672,1240192,3.02,0.26
61,Romania,19364557,19174436,238391,-0.66,0.25
62,Chile,18952038,19194305,756102,0.87,0.25
63,Malawi,18628747,19396471,118484,2.69,0.25
