,Rank,Name,Country,2020 Population,2019 Population,Change
0,1,Tokyo,Japan,37393128,37435192.0,-0.11%
1,2,Delhi,India,30290936,29399140.0,3.03%
2,3,Shanghai,China,27058480,26317104.0,2.82%
3,4,Sao Paulo,Brazil,22043028,21846508.0,0.90%
4,5,Mexico City,Mexico,21782378,21671908.0,0.51%
5,6,Dhaka,Bangladesh,21005860,20283552.0,3.56%
6,7,Cairo,Egypt,20900604,20484964.0,2.03%
7,8,Beijing,China,20462610,20035456.0,2.13%
8,9,Mumbai,India,20411274,20185064.0,1.12%
9,10,Osaka,Japan,19165340,19222664.0,-0.30%
10,11,Karachi,Pakistan,16093786,15741406.0,2.24%
11,12,Chongqing,China,15872179,15354067.0,3.37%
12,13,Istanbul,Turkey,15190336,14967667.0,1.49%
13,14,Buenos Aires,Argentina,15153729,15057273.0,0.64%
14,15,Kolkata,India,14850066,14755186.0,0.64%
15,16,Lagos,Nigeria,14368332,13903620.0,3.34%
16,17,Kinshasa,Dr Congo,14342439,13743278.0,4.36%
17,18,Manila,Philippines,13923452,13698889.0,1.64%
18,19,Tianjin,China,13589078,13396402.0,1.44%
19,20,Rio De Janeiro,Brazil,13458075,13374275.0,0.63%
20,21,Guangzhou,China,13301532,12967862.0,2.57%
21,22,Lahore,Pakistan,12642423,12188196.0,3.73%
22,23,Moscow,Russia,12537954,12476171.0,0.50%
23,24,Shenzhen,China,12356820,12128721.0,1.88%
24,25,Bangalore,India,12326532,11882666.0,3.74%
25,26,Paris,France,11017230,10958187.0,0.54%
26,27,Bogota,Colombia,10978360,10779376.0,1.85%
27,28,Chennai,India,10971108,10711243.0,2.43%
28,29,Jakarta,Indonesia,10770487,10638689.0,1.24%
29,30,Lima,Peru,10719188,10554712.0,1.56%
30,31,Bangkok,Thailand,10539415,10350204.0,1.83%
31,32,Hyderabad,India,10004144,9741397.0,2.70%
32,33,Seoul,South Korea,9963452,9962393.0,0.01%
33,34,Nagoya,Japan,9552132,9532059.0,0.21%
34,35,London,United Kingdom,9304016,9176530.0,1.39%
35,36,Chengdu,China,9135768,8971839.0,1.83%
36,37,Tehran,Iran,9134708,9013663.0,1.34%
37,38,Nanjing,China,8847372,8545577.0,3.53%
38,39,Ho Chi Minh City,Vietnam,8602317,8371428.0,2.76%
39,40,Wuhan,China,8364977,8266273.0,1.19%
40,41,Luanda,Angola,8329798,8044735.0,3.54%
41,42,New York City City,United States,8283550,8336820.0,-0.64%
42,43,Ahmedabad,India,8059441,7868633.0,2.42%
43,44,Xi An Shaanxi,China,8000965,7722254.0,3.61%
44,45,Kuala Lumpur,Malaysia,7996830,7780301.0,2.78%
45,46,Hangzhou,China,7642147,7437993.0,2.74%
46,47,Hong Kong,Hong Kong,7547652,7490776.0,0.76%
47,48,Dongguan,China,7407852,7378500.0,0.40%
48,49,Foshan,China,7326852,7257143.0,0.96%
49,50,Riyadh,Saudi Arabia,7231447,7070665.0,2.27%
50,51,Shenyang,China,7220104,7069012.0,2.14%
51,52,Surat,India,7184590,6873756.0,4.52%
52,53,Baghdad,Iraq,7144260,6974439.0,2.43%
53,54,Suzhou,China,7069992,6703499.0,5.47%
54,55,Santiago,Chile,6767223,6723516.0,0.65%
55,56,Dar Es Salaam,Tanzania,6701650,6368272.0,5.23%
56,57,Pune,India,6629347,6451618.0,2.75%
57,58,Madrid,Spain,6617513,6559041.0,0.89%
58,59,Haerbin,China,6387195,6249824.0,2.20%
59,60,Toronto,Canada,6196731,6139404.0,0.93%
60,61,Belo Horizonte,Brazil,6084430,6028319.0,0.93%
61,62,Singapore,Singapore,5935053,5868104.0,1.14%
62,63,Khartoum,Sudan,5828858,5677921.0,2.66%
63,64,Johannesburg,South Africa,5782747,5635127.0,2.62%
64,65,Qingdao,China,5619977,5499117.0,2.20%
65,66,Dalian,China,5617849,5458521.0,2.92%
66,67,Barcelona,Spain,5585556,5541127.0,0.80%
67,68,Fukuoka,Japan,5528632,5540084.0,-0.21%
68,69,Saint Petersburg,Russia,5467808,5426959.0,0.75%
69,70,Ji Nan Shandong,China,5360185,5205402.0,2.97%
70,71,Yangon,Myanmar,5331800,5243989.0,1.67%
71,72,Zhengzhou,China,5322696,5131377.0,3.73%
72,73,Alexandria,Egypt,5280664,5182450.0,1.90%
73,74,Abidjan,Ivory Coast,5202762,5058550.0,2.85%
74,75,Guadalajara,Mexico,5179479,5100527.0,1.55%
75,76,Ankara,Turkey,5117603,5017996.0,1.98%
76,77,Chittagong,Bangladesh,5019824,4914633.0,2.14%
77,78,Melbourne,Australia,4967733,4870388.0,2.00%
78,79,Sydney,Australia,4925987,4859432.0,1.37%
79,80,Monterrey,Mexico,4874095,4792864.0,1.69%
80,81,Addis Ababa,Ethiopia,4793699,4591983.0,4.39%
81,82,Nairobi,Kenya,4734881,4556381.0,3.92%
82,83,Hanoi,Vietnam,4678198,4479629.0,4.43%
83,84,Brasilia,Brazil,4645843,4558991.0,1.91%
84,85,Cape Town,South Africa,4617560,4524111.0,2.07%
85,86,Jiddah,Saudi Arabia,4610176,4522216.0,1.95%
86,87,Changsha,China,4577723,4460622.0,2.63%
87,88,Kunming,China,4443186,4335924.0,2.47%
88,89,Changchun,China,4425761,4332263.0,2.16%
89,90,Xinbei,Taiwan,4398383,4361480.0,0.85%
90,91,Urumqi,China,4368865,4189926.0,4.27%
91,92,Shantou,China,4327316,4249233.0,1.84%
92,93,Rome,Italy,4257056,4234019.0,0.54%
93,94,Hefei,China,4241514,4110366.0,3.19%
94,95,Kabul,Afghanistan,4221532,4114029.0,2.61%
95,96,Montreal,Canada,4220566,4195523.0,0.60%
96,97,Tel Aviv,Israel,4181479,4096962.0,2.06%
97,98,Porto Alegre,Brazil,4137417,4115354.0,0.54%
98,99,Recife,Brazil,4127091,4077746.0,1.21%
99,100,Ningbo,China,4116209,3965588.0,3.80%
100,101,Shijiazhuang,China,4114393,4031021.0,2.07%
101,102,Fortaleza,Brazil,4073465,4025753.0,1.19%
102,103,Medellin,Colombia,4000263,3966906.0,0.84%
103,104,Kano,Nigeria,3999050,3905598.0,2.39%
104,105,Yaounde,Cameroon,3992411,3822425.0,4.45%
105,106,Los Angeles,United States,3966940,3966940.0,0.00%
106,107,Jaipur,India,3909333,3812262.0,2.55%
107,108,Ekurhuleni,South Africa,3894262,3817938.0,2.00%
108,109,Taiyuan Shanxi,China,3891127,3807407.0,2.20%
109,110,Nanning,China,3859608,3743602.0,3.10%
110,111,Salvador,Brazil,3839076,3796634.0,1.12%
111,112,Casablanca,Morocco,3752357,3716093.0,0.98%
112,113,Xiamen,China,3720141,3651537.0,1.88%
113,114,Fuzhou Fujian,China,3685701,3608056.0,2.15%
114,115,Curitiba,Brazil,3678732,3629408.0,1.36%
115,116,Lucknow,India,3676515,3589795.0,2.42%
116,117,Douala,Cameroon,3663227,3536119.0,3.59%
117,118,Changzhou,China,3625328,3498645.0,3.62%
118,119,Wenzhou,China,3623646,3521172.0,2.91%
119,120,Nanchang,China,3598421,3485364.0,3.24%
120,121,Berlin,Germany,3562038,3556792.0,0.15%
121,122,Kozhikode,India,3555411,3364657.0,5.67%
122,123,Ibadan,Nigeria,3551961,3463855.0,2.54%
123,124,Busan,South Korea,3465190,3465633.0,-0.01%
124,125,Faisalabad,Pakistan,3462295,3385342.0,2.27%
125,126,Tangshan Hebei,China,3425638,3285328.0,4.27%
126,127,Bekasi,Indonesia,3394273,3276733.0,3.59%
127,128,Malappuram,India,3391277,3169457.0,7.00%
128,129,Antananarivo,Madagascar,3368585,3210386.0,4.93%
129,130,Kumasi,Ghana,3348062,3205586.0,4.44%
130,131,Asuncion,Paraguay,3336562,3279160.0,1.75%
131,132,Santo Domingo,Dominican Republic,3317784,3245021.0,2.24%
132,133,Guiyang,China,3317110,3226249.0,2.82%
133,134,Campinas,Brazil,3300794,3255911.0,1.38%
134,135,Kampala,Uganda,3298364,3137690.0,5.12%
135,136,Abuja,Nigeria,3277740,3095118.0,5.90%
136,137,Wuxi,China,3256020,3198981.0,1.78%
137,138,Mashhad,Iran,3208336,3152482.0,1.77%
138,139,Puebla,Mexico,3194848,3145456.0,1.57%
139,140,Durban,South Africa,3158313,3144573.0,0.44%
140,141,Athens,Greece,3153355,3154152.0,-0.03%
141,142,Dakar,Senegal,3140442,3057065.0,2.73%
142,143,Milan,Italy,3140181,3136077.0,0.13%
143,144,Kanpur,India,3123990,3100285.0,0.76%
144,145,Kuwait City,Kuwait,3114553,3052493.0,2.03%
145,146,Pyongyang,North Korea,3084244,3060864.0,0.76%
146,147,Kochi,India,3082055,2969638.0,3.79%
147,148,Lanzhou,China,3080522,3007613.0,2.42%
148,149,Thrissur,India,3068164,2920761.0,5.05%
149,150,Port Harcourt,Nigeria,3020232,2873322.0,5.11%
150,151,Indore,India,3016713,2919295.0,3.34%
151,152,Guayaquil,Ecuador,2994218,2946158.0,1.63%
152,153,Izmir,Turkey,2992953,2963754.0,0.99%
153,154,Kiev,Ukraine,2988176,2973335.0,0.50%
154,155,Sanaa,Yemen,2972988,2874373.0,3.43%
155,156,Lisbon,Portugal,2956879,2942097.0,0.50%
156,157,Surabaya,Indonesia,2944403,2921630.0,0.78%
157,158,Caracas,Venezuela,2938992,2935501.0,0.12%
158,159,Guatemala City,Guatemala,2934841,2891230.0,1.51%
159,160,Shizuoka,Japan,2922320,2911784.0,0.36%
160,161,Zhongshan,China,2913974,2890965.0,0.80%
161,162,Nagpur,India,2893455,2849572.0,1.54%
162,163,Dubai,United Arab Emirates,2878344,2833079.0,1.60%
163,164,Incheon,South Korea,2801039,2782612.0,0.66%
164,165,Coimbatore,India,2786600,2713233.0,2.70%
165,166,Cali,Colombia,2781980,2754078.0,1.01%
166,167,Ouagadougou,Burkina Faso,2780331,2652720.0,4.81%
